C,Si,Mn,P,S,Alt,Cr,Cu,V,Nb,Mo,Ti,ModelCalculatedValue,TheoreticalSlabThickness,TheoreticalSlabWidth,TimeinFurnace(min),ActualExitTemperature,ActualRollingStartTemperature,ActualStartAfterTemperatureControl,ActualFinalRollingThickness,ActualFinalRollingTemperature,ActualTemperatureBeforeCooling,Thickness,TemperatureAfterCooling,YieldStrength,TensileStrength,Elongation,Toughness
0.15,0.38,1.47,0.015,0.004,0.036,0.01,0.01,0.002,0.001,0.001,0.003,831,250,2000,232.45,1222,1168,75.01,30.14,793.91,767,30.0,630,380,520,26.5,202.33333333333334
0.15,0.38,1.47,0.015,0.004,0.036,0.01,0.01,0.002,0.001,0.001,0.003,791,250,1800,513.8833333333333,1179,1138,22.87,20.31,796.9,756,20.0,640,375,520,28.0,215.33333333333334
0.15,0.24,1.46,0.012,0.002,0.035,0.02,0.01,0.002,0.001,0.004,0.002,852,250,2000,486.85,1221,1186,150.04,80.23,810.25,786,80.0,630,425,560,28.5,207.0
0.15,0.24,1.46,0.012,0.002,0.035,0.02,0.01,0.002,0.001,0.004,0.002,847,250,2000,487.3666666666667,1205,1180,120.04,65.03,823.07,790,65.0,630,380,545,22.5,221.33333333333334
0.16,0.27,1.47,0.014,0.002,0.04,0.02,0.01,0.001,0.002,0.001,0.004,863,250,1800,380.4833333333333,1205,1217,120.03,60.45,797.52,794,60.0,630,370,520,32.0,158.0
0.14,0.21,1.5,0.013,0.019,0.018,0.02,0.01,0.005,0.001,0.001,0.001,805,220,1800,289.2166666666666,1194,1198,85.0,34.17,789.1,769,34.0,630,375,530,25.0,179.33333333333334
0.15,0.38,1.47,0.015,0.004,0.036,0.01,0.01,0.002,0.001,0.001,0.003,804,250,2000,360.2333333333333,1226,1232,40.0,16.37,797.47,755,16.0,640,375,525,32.0,187.0
0.15,0.38,1.47,0.015,0.004,0.036,0.01,0.01,0.002,0.001,0.001,0.003,813,250,2000,344.8,1205,1224,40.0,16.31,804.6,752,16.0,640,370,515,29.0,145.66666666666666
0.15,0.38,1.47,0.015,0.004,0.036,0.01,0.01,0.002,0.001,0.001,0.003,815,250,1800,255.2333333333333,1213,1178,40.0,16.08,818.14,755,16.0,640,370,520,29.5,133.0
0.15,0.38,1.47,0.015,0.004,0.036,0.01,0.01,0.002,0.001,0.001,0.003,826,250,1800,257.75,1211,1184,40.0,16.23,815.68,754,16.0,640,365,510,32.5,147.66666666666666
0.15,0.38,1.47,0.015,0.004,0.036,0.01,0.01,0.002,0.001,0.001,0.003,806,250,1800,252.7166666666667,1211,1194,40.0,16.03,801.99,753,16.0,640,385,525,28.0,147.0
0.15,0.38,1.47,0.015,0.004,0.036,0.01,0.01,0.002,0.001,0.001,0.003,849,250,2000,253.7333333333333,1214,1221,140.01,71.12,793.22,784,70.0,630,390,530,32.0,139.0
0.16,0.22,1.39,0.018,0.01,0.04,0.02,0.01,0.004,0.001,0.001,0.002,820,180,1400,269.3833333333333,1211,1218,87.5,35.22,795.54,769,35.0,630,405,540,26.5,112.0
0.15,0.38,1.47,0.015,0.004,0.036,0.01,0.01,0.002,0.001,0.001,0.003,807,250,2000,279.0333333333334,1224,1217,40.0,16.43,800.02,753,16.0,640,375,525,30.0,171.0
0.14,0.21,1.5,0.013,0.019,0.018,0.02,0.01,0.005,0.001,0.001,0.001,827,220,1800,281.65,1224,1200,62.51,25.05,811.6,775,25.0,640,360,515,27.0,208.0
0.15,0.24,1.46,0.012,0.002,0.035,0.02,0.01,0.002,0.001,0.004,0.002,866,300,2000,309.8333333333333,1186,1200,150.0,85.11,786.88,778,85.0,630,380,525,29.0,222.33333333333334
0.15,0.38,1.47,0.015,0.004,0.036,0.01,0.01,0.002,0.001,0.001,0.003,816,250,2000,300.5666666666667,1192,1204,40.0,16.14,817.12,755,16.0,640,380,530,24.5,154.0
0.14,0.21,1.5,0.013,0.019,0.018,0.02,0.01,0.005,0.001,0.001,0.001,828,220,1600,297.6833333333333,1212,1210,75.0,30.01,809.78,767,30.0,630,370,510,26.5,167.66666666666666
0.14,0.21,1.5,0.013,0.019,0.018,0.02,0.01,0.005,0.001,0.001,0.001,787,220,1600,276.3333333333333,1209,1186,50.0,20.16,787.69,762,20.0,640,400,525,29.0,181.33333333333334
0.14,0.21,1.5,0.013,0.019,0.018,0.02,0.01,0.005,0.001,0.001,0.001,810,220,1600,275.4833333333333,1207,1206,40.01,16.4,805.44,757,16.0,640,385,510,33.0,214.0
0.15,0.38,1.47,0.015,0.004,0.036,0.01,0.01,0.002,0.001,0.001,0.003,808,250,2000,294.3333333333333,1205,1183,40.01,16.41,797.5,755,16.0,640,385,535,32.0,149.0
0.15,0.24,1.46,0.012,0.002,0.035,0.02,0.01,0.002,0.001,0.004,0.002,864,300,2400,357.8666666666667,1206,1226,130.0,70.16,767.32,777,70.0,630,415,565,30.5,149.66666666666666
0.15,0.24,1.46,0.012,0.002,0.035,0.02,0.01,0.002,0.001,0.004,0.002,865,300,2400,344.8,1204,1200,130.0,70.01,775.13,777,70.0,630,405,565,29.5,135.0
0.16,0.28,1.46,0.01,0.003,0.034,0.02,0.01,0.002,0.004,0.002,0.003,839,220,1800,331.15,1200,1173,75.02,30.02,809.94,769,30.0,630,400,550,22.5,175.66666666666666
0.15,0.38,1.47,0.015,0.004,0.036,0.01,0.01,0.002,0.001,0.001,0.003,816,250,2000,294.4,1212,1176,50.0,20.03,788.33,756,20.0,640,375,520,25.0,166.0
0.15,0.38,1.47,0.015,0.004,0.036,0.01,0.01,0.002,0.001,0.001,0.003,858,300,2400,322.4833333333333,1206,1209,150.03,80.93,791.81,783,80.0,630,360,520,29.5,133.0
0.15,0.38,1.47,0.015,0.004,0.036,0.01,0.01,0.002,0.001,0.001,0.003,851,300,2400,303.5333333333334,1219,1219,150.04,80.91,782.59,779,80.0,630,370,520,29.0,143.33333333333334
0.15,0.38,1.47,0.015,0.004,0.036,0.01,0.01,0.002,0.001,0.001,0.003,816,300,2000,295.45,1205,1188,62.51,25.05,786.2,763,25.0,640,385,530,24.5,213.66666666666666
0.15,0.38,1.47,0.015,0.004,0.036,0.01,0.01,0.002,0.001,0.001,0.003,863,300,2400,289.4,1218,1222,150.0,80.91,799.9,777,80.0,630,415,555,31.5,183.66666666666666
0.15,0.38,1.47,0.015,0.004,0.036,0.01,0.01,0.002,0.001,0.001,0.003,843,300,2000,288.8333333333333,1229,1213,75.01,30.01,801.0,769,30.0,630,365,520,24.5,186.0
0.15,0.38,1.47,0.015,0.004,0.036,0.01,0.01,0.002,0.001,0.001,0.003,871,300,2000,286.1,1213,1214,75.01,30.08,806.87,769,30.0,630,370,520,24.0,165.33333333333334
0.15,0.38,1.47,0.015,0.004,0.036,0.01,0.01,0.002,0.001,0.001,0.003,861,300,2400,276.9833333333333,1202,1180,150.05,80.84,761.2,773,80.0,630,365,515,28.5,164.0
0.15,0.38,1.47,0.015,0.004,0.036,0.01,0.01,0.002,0.001,0.001,0.003,857,300,2400,273.5333333333334,1225,1226,120.03,60.4,798.62,776,60.0,630,410,555,28.0,224.33333333333334
0.15,0.38,1.47,0.015,0.004,0.036,0.01,0.01,0.002,0.001,0.001,0.003,870,300,2400,314.4333333333333,1194,1215,150.05,81.21,809.19,784,80.0,630,380,525,29.0,134.66666666666666
0.15,0.38,1.47,0.015,0.004,0.036,0.01,0.01,0.002,0.001,0.001,0.003,808,220,1800,252.45,1235,1234,50.0,20.48,799.6,760,20.0,640,385,540,24.5,209.66666666666666
0.15,0.38,1.47,0.015,0.004,0.036,0.01,0.01,0.002,0.001,0.001,0.003,798,220,1800,243.3666666666667,1233,1218,50.0,22.57,773.14,761,20.0,640,415,540,27.5,211.66666666666666
0.15,0.38,1.47,0.015,0.004,0.036,0.01,0.01,0.002,0.001,0.001,0.003,814,220,1800,245.5833333333333,1232,1216,50.0,22.17,798.63,760,20.0,640,395,535,30.5,195.66666666666666
0.15,0.38,1.47,0.015,0.004,0.036,0.01,0.01,0.002,0.001,0.001,0.003,800,220,1800,246.7833333333333,1211,1202,50.01,20.05,792.35,761,20.0,640,415,545,27.0,202.33333333333334
0.15,0.38,1.47,0.015,0.004,0.036,0.01,0.01,0.002,0.001,0.001,0.003,829,220,1800,243.65,1213,1213,50.01,20.25,806.35,760,20.0,640,390,530,30.0,198.66666666666666
0.15,0.38,1.47,0.015,0.004,0.036,0.01,0.01,0.002,0.001,0.001,0.003,778,220,1800,256.8,1219,1201,50.0,20.3,766.49,762,20.0,640,420,540,28.0,214.0
0.15,0.38,1.47,0.015,0.004,0.036,0.01,0.01,0.002,0.001,0.001,0.003,829,220,1800,329.4833333333333,1228,1225,85.05,34.11,795.58,769,34.0,630,395,545,25.0,199.33333333333334
0.15,0.38,1.47,0.015,0.004,0.036,0.01,0.01,0.002,0.001,0.001,0.003,810,220,1800,241.6833333333333,1237,1210,50.02,20.1,784.24,761,20.0,640,410,535,25.0,187.66666666666666
0.15,0.38,1.47,0.015,0.004,0.036,0.01,0.01,0.002,0.001,0.001,0.003,815,220,1800,241.75,1220,1187,50.0,20.24,789.47,760,20.0,640,410,545,27.5,201.0
0.15,0.38,1.47,0.015,0.004,0.036,0.01,0.01,0.002,0.001,0.001,0.003,801,220,1600,304.6666666666667,1215,1227,40.0,16.27,810.57,756,16.0,640,380,525,30.5,125.0
0.15,0.38,1.47,0.015,0.004,0.036,0.01,0.01,0.002,0.001,0.001,0.003,806,220,1600,305.6166666666667,1217,1189,40.0,16.61,828.32,756,16.0,640,390,540,29.0,143.0
0.15,0.24,1.46,0.012,0.002,0.035,0.02,0.01,0.002,0.001,0.004,0.002,865,250,2000,377.65,1226,1224,130.0,80.27,783.31,778,80.0,630,425,570,26.0,143.33333333333334
0.15,0.24,1.46,0.012,0.002,0.035,0.02,0.01,0.002,0.001,0.004,0.002,870,250,2000,378.2833333333334,1227,1213,130.02,80.47,771.18,783,80.0,630,380,535,26.5,132.33333333333334
0.15,0.38,1.47,0.015,0.004,0.036,0.01,0.01,0.002,0.001,0.001,0.003,794,220,1800,308.4,1212,1206,50.01,20.37,789.94,760,20.0,640,410,540,28.0,135.0
0.15,0.38,1.47,0.015,0.004,0.036,0.01,0.01,0.002,0.001,0.001,0.003,817,220,1600,245.3666666666667,1230,1170,40.0,16.45,795.75,752,16.0,640,380,530,29.5,138.0
0.15,0.38,1.47,0.015,0.004,0.036,0.01,0.01,0.002,0.001,0.001,0.003,781,220,1600,253.5666666666667,1202,1173,50.02,20.55,784.72,762,20.0,640,390,535,30.5,199.66666666666666
0.15,0.38,1.47,0.015,0.004,0.036,0.01,0.01,0.002,0.001,0.001,0.003,813,220,1600,346.35,1196,1135,40.0,16.43,830.83,758,16.0,640,390,525,27.0,156.66666666666666
