C,Si,Mn,P,S,Alt,Cr,Cu,V,Nb,Mo,Ti,ModelCalculatedValue,TheoreticalSlabThickness,TheoreticalSlabWidth,TimeinFurnace(min),ActualExitTemperature,ActualRollingStartTemperature,ActualStartAfterTemperatureControl,ActualFinalRollingThickness,ActualFinalRollingTemperature,ActualTemperatureBeforeCooling,Thickness,TemperatureAfterCooling,YieldStrength,TensileStrength,Elongation,Toughness
0.15,0.38,1.47,0.015,0.004,0.036,0.01,0.01,0.002,0.001,0.001,0.003,847,300,2000,249.7833333333333,1172,1154,75.06,30.0,819.51,785,30.0,624,369,531,29.0,198.33333333333334
0.17,0.34,1.44,0.012,0.004,0.015,0.01,0.02,0.002,0.004,0.002,0.005,816,220,1800,261.5833333333333,1200,1180,40.01,16.04,807.84,745,16.0,655,392,544,29.5,218.66666666666666
0.15,0.38,1.47,0.015,0.004,0.036,0.01,0.01,0.002,0.001,0.001,0.003,827,300,2000,253.5333333333333,1191,1172,80.0,32.09,814.11,779,32.0,639,362,537,33.0,241.0
0.15,0.38,1.47,0.015,0.004,0.036,0.01,0.01,0.002,0.001,0.001,0.003,832,300,2000,259.2333333333333,1199,1182,132.0,50.9,803.51,787,50.0,666,370,536,34.0,196.66666666666666
0.15,0.38,1.47,0.015,0.004,0.036,0.01,0.01,0.002,0.001,0.001,0.003,850,300,2000,259.3,1226,1203,140.04,70.15,791.79,791,70.0,642,390,537,29.5,230.33333333333334
0.15,0.38,1.47,0.015,0.004,0.036,0.01,0.01,0.002,0.001,0.001,0.003,866,300,2000,265.1333333333333,1208,1193,132.01,66.63,823.31,802,66.0,638,368,534,31.0,181.0
0.14,0.21,1.5,0.013,0.019,0.018,0.02,0.01,0.005,0.001,0.001,0.001,816,300,2000,283.35,1221,1201,62.5,25.1,809.38,764,25.0,629,381,527,23.5,223.0
0.17,0.34,1.44,0.012,0.004,0.015,0.01,0.02,0.002,0.004,0.002,0.005,820,300,1800,274.4166666666667,1202,1182,110.43,55.01,784.93,764,55.0,651,401,558,25.5,223.33333333333334
0.15,0.24,1.46,0.012,0.002,0.035,0.02,0.01,0.002,0.001,0.004,0.002,853,300,2000,274.3333333333333,1182,1166,150.0,80.16,805.94,790,80.0,638,372,541,35.0,235.66666666666666
0.14,0.21,1.5,0.013,0.019,0.018,0.02,0.01,0.005,0.001,0.001,0.001,796,250,1800,300.2166666666666,1200,1174,50.0,20.05,800.73,745,20.0,615,384,536,27.0,224.0
0.14,0.21,1.5,0.013,0.019,0.018,0.02,0.01,0.005,0.001,0.001,0.001,804,250,1800,290.2333333333333,1201,1183,40.01,16.04,806.48,742,16.0,628,399,533,31.5,246.66666666666666
0.15,0.38,1.47,0.015,0.004,0.036,0.01,0.01,0.002,0.001,0.001,0.003,851,300,2000,261.8,1226,1205,140.03,71.68,795.44,793,70.0,624,370,529,30.0,218.33333333333334
0.14,0.21,1.5,0.013,0.019,0.018,0.02,0.01,0.005,0.001,0.001,0.001,817,250,1800,305.4,1193,1170,40.0,16.11,819.14,746,16.0,635,382,538,33.0,216.66666666666666
0.14,0.21,1.5,0.013,0.019,0.018,0.02,0.01,0.005,0.001,0.001,0.001,818,250,1800,295.7666666666667,1190,1166,40.01,16.1,828.17,751,16.0,637,389,543,31.5,199.33333333333334
0.14,0.21,1.5,0.013,0.019,0.018,0.02,0.01,0.005,0.001,0.001,0.001,810,250,1800,315.5833333333333,1196,1176,40.0,16.04,834.34,749,16.0,635,369,539,32.0,156.66666666666666
0.15,0.38,1.47,0.015,0.004,0.036,0.01,0.01,0.002,0.001,0.001,0.003,835,300,1800,263.3,1181,1165,135.0,80.46,784.38,766,80.0,617,385,555,30.0,180.0
0.14,0.21,1.5,0.013,0.019,0.018,0.02,0.01,0.005,0.001,0.001,0.001,800,250,2000,242.95,1188,1164,50.01,20.05,812.3,746,20.0,626,390,532,27.0,190.33333333333334
0.15,0.38,1.47,0.015,0.004,0.036,0.01,0.01,0.002,0.001,0.001,0.003,852,300,1800,260.6833333333333,1222,1193,150.02,75.76,792.58,772,75.0,636,419,564,26.0,137.33333333333334
0.17,0.34,1.44,0.012,0.004,0.015,0.01,0.02,0.002,0.004,0.002,0.005,805,300,2000,286.7,1193,1173,62.5,62.69,802.11,749,25.0,635,381,530,25.0,133.0
0.14,0.21,1.5,0.013,0.019,0.018,0.02,0.01,0.005,0.001,0.001,0.001,805,250,2000,252.15,1201,1179,50.0,20.3,797.84,746,20.0,620,406,544,27.5,197.66666666666666
0.15,0.38,1.47,0.015,0.004,0.036,0.01,0.01,0.002,0.001,0.001,0.003,817,250,1800,281.0166666666667,1193,1166,75.0,30.19,808.37,763,30.0,647,426,558,30.0,192.66666666666666
0.15,0.24,1.46,0.012,0.002,0.035,0.02,0.01,0.002,0.001,0.004,0.002,840,250,1800,272.3166666666667,1198,1174,110.0,0.0,810.18,791,55.0,600,401,553,30.0,189.33333333333334
0.16,0.27,1.47,0.014,0.002,0.04,0.02,0.01,0.001,0.002,0.001,0.004,854,250,2000,229.7166666666667,1204,1184,100.01,0.0,819.33,794,50.0,653,368,532,25.0,244.66666666666666
0.17,0.34,1.44,0.012,0.004,0.015,0.01,0.02,0.002,0.004,0.002,0.005,808,300,2400,294.9833333333333,1206,1189,40.03,0.0,812.41,742,16.0,647,391,544,27.5,158.0
0.17,0.34,1.44,0.012,0.004,0.015,0.01,0.02,0.002,0.004,0.002,0.005,806,300,2000,297.2666666666667,1204,1187,40.09,0.0,809.38,744,16.0,652,392,548,31.5,214.0
0.14,0.21,1.5,0.013,0.019,0.018,0.02,0.01,0.005,0.001,0.001,0.001,809,220,1600,301.5666666666667,1180,1159,72.0,36.12,788.71,763,36.0,635,364,520,28.0,225.66666666666666
0.15,0.38,1.47,0.015,0.004,0.036,0.01,0.01,0.002,0.001,0.001,0.003,825,250,1800,303.7333333333333,1179,1159,75.0,30.17,797.05,767,30.0,642,418,547,26.0,170.66666666666666
0.14,0.21,1.5,0.013,0.019,0.018,0.02,0.01,0.005,0.001,0.001,0.001,807,220,1600,274.1833333333333,1198,1168,40.0,16.01,820.04,743,16.0,640,381,531,31.0,220.0
0.14,0.21,1.5,0.013,0.019,0.018,0.02,0.01,0.005,0.001,0.001,0.001,866,150,1800,395.8333333333333,1199,1170,42.0,0.0,881.24,778,14.0,638,381,544,35.0,161.33333333333334
0.14,0.21,1.5,0.013,0.019,0.018,0.02,0.01,0.005,0.001,0.001,0.001,843,150,1800,397.7666666666667,1197,1163,42.0,0.0,852.09,765,14.0,645,376,530,35.0,209.33333333333334
0.14,0.21,1.5,0.013,0.019,0.018,0.02,0.01,0.005,0.001,0.001,0.001,818,250,1800,254.7,1177,1151,42.0,14.03,833.25,763,14.0,629,393,553,28.5,205.33333333333334
0.15,0.38,1.47,0.015,0.004,0.036,0.01,0.01,0.002,0.001,0.001,0.003,859,300,2000,281.1,1193,1172,150.02,80.68,804.45,800,80.0,667,397,555,27.5,161.0
0.14,0.21,1.5,0.013,0.019,0.018,0.02,0.01,0.005,0.001,0.001,0.001,822,150,1800,217.5,1224,1183,36.0,12.01,829.31,741,12.0,644,369,526,35.0,223.66666666666666
0.14,0.21,1.5,0.013,0.019,0.018,0.02,0.01,0.005,0.001,0.001,0.001,815,150,1800,207.55,1226,1155,62.63,26.52,803.74,755,25.0,642,398,526,31.5,206.66666666666666
0.16,0.27,1.47,0.014,0.002,0.04,0.02,0.01,0.001,0.002,0.001,0.004,876,300,2000,260.4833333333333,1181,1166,140.0,70.11,804.77,795,70.0,591,401,558,27.5,224.66666666666666
0.16,0.27,1.47,0.014,0.002,0.04,0.02,0.01,0.001,0.002,0.001,0.004,848,300,2000,267.5333333333334,1197,1177,100.0,50.78,797.68,769,50.0,634,386,546,28.5,242.0
0.17,0.34,1.44,0.012,0.004,0.015,0.01,0.02,0.002,0.004,0.002,0.005,797,250,2000,325.7333333333333,1195,1158,50.01,20.76,790.28,743,20.0,640,413,554,29.0,148.66666666666666
0.17,0.34,1.44,0.012,0.004,0.015,0.01,0.02,0.002,0.004,0.002,0.005,815,250,2000,299.7166666666666,1205,1185,80.0,32.36,799.28,769,32.0,638,390,542,28.5,204.33333333333334
0.17,0.34,1.44,0.012,0.004,0.015,0.01,0.02,0.002,0.004,0.002,0.005,830,250,2000,297.3,1193,1169,50.01,21.3,837.91,769,20.0,642,383,554,27.5,153.0
0.14,0.21,1.5,0.013,0.019,0.018,0.02,0.01,0.005,0.001,0.001,0.001,829,150,1400,371.5833333333333,1180,1149,30.0,0.0,826.38,738,10.0,620,415,555,29.0,171.0
0.17,0.34,1.44,0.012,0.004,0.015,0.01,0.02,0.002,0.004,0.002,0.005,827,150,1400,348.9666666666666,1193,1153,40.0,0.0,817.84,747,16.0,643,390,538,32.0,201.66666666666666
0.17,0.34,1.44,0.012,0.004,0.015,0.01,0.02,0.002,0.004,0.002,0.005,833,250,2000,248.9166666666667,1208,1182,65.01,26.13,814.65,783,26.0,650,394,549,23.5,149.0
0.17,0.34,1.44,0.012,0.004,0.015,0.01,0.02,0.002,0.004,0.002,0.005,778,220,1600,270.55,1195,1168,50.0,0.0,791.41,744,20.0,649,381,534,28.0,112.33333333333333
0.17,0.34,1.44,0.012,0.004,0.015,0.01,0.02,0.002,0.004,0.002,0.005,842,300,2000,283.6166666666667,1185,1169,150.0,75.34,801.61,776,75.0,571,391,552,26.0,163.33333333333334
0.17,0.34,1.44,0.012,0.004,0.015,0.01,0.02,0.002,0.004,0.002,0.005,797,220,1800,385.6,1186,1164,79.99,40.29,793.13,756,40.0,659,419,549,26.0,170.66666666666666
0.17,0.34,1.44,0.012,0.004,0.015,0.01,0.02,0.002,0.004,0.002,0.005,839,250,1800,368.3166666666667,1185,1165,80.0,40.23,817.66,781,40.0,669,399,539,27.5,229.66666666666666
0.17,0.34,1.44,0.012,0.004,0.015,0.01,0.02,0.002,0.004,0.002,0.005,848,300,2400,289.65,1213,1184,120.02,60.2,803.96,794,60.0,616,389,553,28.5,198.0
0.15,0.24,1.46,0.012,0.002,0.035,0.02,0.01,0.002,0.001,0.004,0.002,875,250,1800,281.6333333333333,1231,1205,135.04,85.12,820.02,807,85.0,585,370,539,29.5,231.0
0.17,0.34,1.44,0.012,0.004,0.015,0.01,0.02,0.002,0.004,0.002,0.005,830,250,1800,270.8833333333333,1209,1179,120.0,60.8,785.44,777,60.0,649,420,546,30.5,194.66666666666666
0.16,0.27,1.47,0.014,0.002,0.04,0.02,0.01,0.001,0.002,0.001,0.004,842,300,2400,321.0,1203,1182,96.0,48.48,798.83,784,48.0,634,409,558,29.0,230.0
0.15,0.38,1.47,0.015,0.004,0.036,0.01,0.01,0.002,0.001,0.001,0.003,865,250,2000,325.8,1207,1187,150.0,80.22,796.95,803,80.0,633,385,553,26.5,211.33333333333334
0.16,0.27,1.47,0.014,0.002,0.04,0.02,0.01,0.001,0.002,0.001,0.004,836,250,1800,328.4333333333333,1203,1177,96.0,48.32,788.97,755,48.0,582,394,544,31.0,194.0
0.17,0.34,1.44,0.012,0.004,0.015,0.01,0.02,0.002,0.004,0.002,0.005,843,250,2000,329.9833333333333,1203,1172,130.0,65.12,804.12,789,65.0,585,389,543,29.0,195.66666666666666
0.17,0.34,1.44,0.012,0.004,0.015,0.01,0.02,0.002,0.004,0.002,0.005,853,250,2000,319.2,1190,1169,129.99,65.2,809.12,804,65.0,641,383,541,24.0,182.33333333333334
0.17,0.34,1.44,0.012,0.004,0.015,0.01,0.02,0.002,0.004,0.002,0.005,838,250,2000,320.5,1190,1165,120.0,61.04,808.67,789,60.0,625,399,563,28.5,198.33333333333334
0.17,0.34,1.44,0.012,0.004,0.015,0.01,0.02,0.002,0.004,0.002,0.005,843,250,2000,324.5166666666667,1196,1167,110.0,55.72,813.14,787,55.0,595,408,562,28.0,174.33333333333334
0.15,0.24,1.46,0.012,0.002,0.035,0.02,0.01,0.002,0.001,0.004,0.002,837,250,2000,285.1666666666667,1187,1170,120.0,60.22,802.45,781,60.0,648,423,549,26.0,210.0
0.14,0.21,1.5,0.013,0.019,0.018,0.02,0.01,0.005,0.001,0.001,0.001,796,220,1800,297.7333333333333,1204,1182,42.0,14.57,814.48,741,14.0,650,399,546,31.0,127.33333333333333
0.14,0.21,1.5,0.013,0.019,0.018,0.02,0.01,0.005,0.001,0.001,0.001,816,220,1800,299.6833333333333,1205,1184,42.0,14.41,828.91,746,14.0,645,374,534,28.5,138.33333333333334
0.15,0.24,1.46,0.012,0.002,0.035,0.02,0.01,0.002,0.001,0.004,0.002,811,250,1800,842.5333333333333,1178,1161,87.49,35.33,792.86,773,35.0,645,415,566,26.5,175.0
0.15,0.24,1.46,0.012,0.002,0.035,0.02,0.01,0.002,0.001,0.004,0.002,835,250,1800,320.75,1218,1197,87.51,35.03,823.46,788,35.0,619,388,553,30.0,181.66666666666666
0.15,0.24,1.46,0.012,0.002,0.035,0.02,0.01,0.002,0.001,0.004,0.002,840,250,1800,310.9,1204,1187,87.5,35.12,817.97,793,35.0,633,421,567,27.0,158.0
0.15,0.24,1.46,0.012,0.002,0.035,0.02,0.01,0.002,0.001,0.004,0.002,839,250,1800,309.9166666666667,1217,1196,87.5,35.05,799.33,784,35.0,638,382,547,32.0,132.33333333333334
0.17,0.34,1.44,0.012,0.004,0.015,0.01,0.02,0.002,0.004,0.002,0.005,793,300,2000,291.9166666666667,1221,1197,65.0,26.13,795.68,748,26.0,641,406,559,21.0,162.66666666666666
0.17,0.34,1.44,0.012,0.004,0.015,0.01,0.02,0.002,0.004,0.002,0.005,862,250,1800,303.3666666666667,1203,1187,150.03,76.8,823.09,801,76.0,580,388,547,27.0,154.33333333333334
0.15,0.24,1.46,0.012,0.002,0.035,0.02,0.01,0.002,0.001,0.004,0.002,822,250,1800,312.4166666666667,1226,1205,80.0,40.07,794.1,777,40.0,655,384,550,30.0,122.66666666666667
0.14,0.21,1.5,0.013,0.019,0.018,0.02,0.01,0.005,0.001,0.001,0.001,834,220,1800,282.3833333333333,1182,1163,30.0,10.43,836.79,742,10.0,658,387,541,31.0,106.33333333333333
0.17,0.34,1.44,0.012,0.004,0.015,0.01,0.02,0.002,0.004,0.002,0.005,871,250,2000,289.15,1205,1181,150.01,80.03,804.74,806,80.0,576,380,555,24.5,149.33333333333334
0.17,0.34,1.44,0.012,0.004,0.015,0.01,0.02,0.002,0.004,0.002,0.005,854,250,2000,286.6666666666667,1195,1180,145.03,85.53,816.02,786,85.0,584,386,561,28.0,115.33333333333333
0.17,0.34,1.44,0.012,0.004,0.015,0.01,0.02,0.002,0.004,0.002,0.005,853,250,2000,275.25,1207,1182,140.0,85.29,820.25,800,85.0,581,399,563,25.0,180.66666666666666
0.16,0.22,1.39,0.018,0.01,0.04,0.02,0.01,0.004,0.001,0.001,0.002,812,300,2000,276.5333333333334,1179,1164,65.0,26.23,792.59,750,26.0,615,374,513,31.0,248.66666666666666
0.15,0.24,1.46,0.012,0.002,0.035,0.02,0.01,0.002,0.001,0.004,0.002,854,250,1800,297.5166666666667,1179,1162,87.51,35.4,822.91,793,35.0,650,370,544,27.5,125.33333333333333
0.17,0.34,1.44,0.012,0.004,0.015,0.01,0.02,0.002,0.004,0.002,0.005,824,250,2000,346.3666666666667,1209,1180,40.01,16.04,832.05,766,16.0,622,387,550,27.5,111.66666666666667
0.17,0.34,1.44,0.012,0.004,0.015,0.01,0.02,0.002,0.004,0.002,0.005,815,250,2000,283.4833333333333,1223,1198,92.0,46.49,792.35,760,46.0,643,396,565,27.0,180.66666666666666
0.17,0.34,1.44,0.012,0.004,0.015,0.01,0.02,0.002,0.004,0.002,0.005,779,300,2000,928.4833333333332,1200,1178,60.01,25.12,795.58,746,24.0,638,426,563,21.5,145.66666666666666
0.15,0.24,1.46,0.012,0.002,0.035,0.02,0.01,0.002,0.001,0.004,0.002,807,300,2400,307.2333333333333,1179,1164,80.0,32.38,786.28,758,32.0,626,418,568,30.0,173.0
0.15,0.36,1.4,0.015,0.003,0.027,0.02,0.01,0.002,0.002,0.001,0.003,818,250,1800,302.6,1212,1190,80.0,32.37,799.41,763,32.0,637,367,526,31.5,163.66666666666666
0.15,0.36,1.4,0.015,0.003,0.027,0.02,0.01,0.002,0.002,0.001,0.003,852,300,1800,290.7833333333334,1188,1172,80.0,32.23,828.45,784,32.0,589,361,527,31.0,172.66666666666666
0.16,0.22,1.39,0.018,0.01,0.04,0.02,0.01,0.004,0.001,0.001,0.002,809,150,1800,285.1333333333333,1208,1179,50.0,20.72,794.83,746,20.0,641,385,524,30.0,126.66666666666667
0.16,0.28,1.46,0.01,0.003,0.034,0.02,0.01,0.002,0.004,0.002,0.003,848,250,2000,293.4666666666666,1195,1176,50.05,20.02,836.24,771,20.0,622,373,536,30.5,143.0
0.14,0.21,1.5,0.013,0.019,0.018,0.02,0.01,0.005,0.001,0.001,0.001,810,150,1800,262.9166666666667,1221,1184,50.01,20.11,788.84,746,20.0,631,393,522,30.5,168.0
0.14,0.21,1.5,0.013,0.019,0.018,0.02,0.01,0.005,0.001,0.001,0.001,810,220,1800,269.65,1181,1160,50.01,20.26,799.43,753,20.0,636,400,542,28.0,123.66666666666667
0.14,0.21,1.5,0.013,0.019,0.018,0.02,0.01,0.005,0.001,0.001,0.001,830,220,1600,270.8166666666667,1179,1162,42.0,14.01,835.86,758,14.0,641,369,526,28.0,132.66666666666666
0.14,0.21,1.5,0.013,0.019,0.018,0.02,0.01,0.005,0.001,0.001,0.001,805,250,2000,278.9166666666667,1173,1157,50.01,20.24,800.74,752,20.0,622,387,541,26.5,149.66666666666666
0.14,0.21,1.5,0.013,0.019,0.018,0.02,0.01,0.005,0.001,0.001,0.001,813,250,1800,280.0166666666667,1175,1158,50.0,20.08,815.67,753,20.0,608,380,536,23.0,153.66666666666666
0.14,0.21,1.5,0.013,0.019,0.018,0.02,0.01,0.005,0.001,0.001,0.001,844,250,1800,281.1,1209,1160,50.0,21.51,840.71,775,20.0,627,380,531,27.5,148.33333333333334
0.14,0.21,1.5,0.013,0.019,0.018,0.02,0.01,0.005,0.001,0.001,0.001,823,250,1800,283.25,1210,1188,40.01,17.63,817.85,742,16.0,627,368,535,29.5,127.66666666666667
0.14,0.21,1.5,0.013,0.019,0.018,0.02,0.01,0.005,0.001,0.001,0.001,821,250,2000,267.1166666666667,1210,1188,36.04,12.29,836.4,744,12.0,637,382,548,29.0,136.66666666666666
0.14,0.21,1.5,0.013,0.019,0.018,0.02,0.01,0.005,0.001,0.001,0.001,827,250,1800,265.55,1193,1170,36.0,12.09,834.79,743,12.0,641,379,531,30.0,125.33333333333333
0.14,0.21,1.5,0.013,0.019,0.018,0.02,0.01,0.005,0.001,0.001,0.001,794,250,1800,804.75,1189,1174,50.0,20.18,793.69,744,20.0,614,375,542,21.5,178.33333333333334
0.14,0.21,1.5,0.013,0.019,0.018,0.02,0.01,0.005,0.001,0.001,0.001,789,250,2000,809.7166666666667,1188,1171,50.0,20.05,791.28,743,20.0,622,398,543,25.5,157.66666666666666
0.14,0.21,1.5,0.013,0.019,0.018,0.02,0.01,0.005,0.001,0.001,0.001,840,150,1800,269.1,1212,1183,50.0,20.45,814.26,762,20.0,626,385,534,28.0,108.33333333333333
0.14,0.21,1.5,0.013,0.019,0.018,0.02,0.01,0.005,0.001,0.001,0.001,817,220,1600,295.25,1203,1184,50.0,20.06,857.26,758,20.0,622,372,523,29.0,157.66666666666666
0.16,0.27,1.47,0.014,0.002,0.04,0.02,0.01,0.001,0.002,0.001,0.004,829,250,2000,287.3833333333333,1219,1196,120.0,61.4,799.96,781,60.0,597,373,536,30.5,215.33333333333334
0.17,0.34,1.44,0.012,0.004,0.015,0.01,0.02,0.002,0.004,0.002,0.005,829,250,1800,285.5666666666667,1197,1181,90.01,42.01,808.19,778,42.0,587,400,566,28.5,155.33333333333334
0.17,0.34,1.44,0.012,0.004,0.015,0.01,0.02,0.002,0.004,0.002,0.005,849,250,2000,282.4,1188,1172,90.01,42.03,817.17,767,42.0,595,387,558,26.5,162.66666666666666
0.15,0.24,1.46,0.012,0.002,0.035,0.02,0.01,0.002,0.001,0.004,0.002,851,300,2000,304.35,1209,1190,130.01,65.01,800.41,784,65.0,630,428,566,29.0,149.0
0.16,0.27,1.47,0.014,0.002,0.04,0.02,0.01,0.001,0.002,0.001,0.004,842,300,2000,308.6833333333333,1205,1189,120.0,60.0,798.74,787,60.0,592,390,536,31.0,184.0
0.17,0.34,1.44,0.012,0.004,0.015,0.01,0.02,0.002,0.004,0.002,0.005,803,250,2000,243.0833333333333,1188,1173,40.0,17.02,805.13,745,16.0,655,397,551,27.5,180.66666666666666
0.14,0.21,1.5,0.013,0.019,0.018,0.02,0.01,0.005,0.001,0.001,0.001,845,150,1800,275.7666666666667,1255,1185,36.0,13.01,858.82,754,12.0,655,375,517,29.0,110.0
0.15,0.24,1.46,0.012,0.002,0.035,0.02,0.01,0.002,0.001,0.004,0.002,829,250,1800,226.1333333333333,1189,1173,80.0,32.38,781.05,757,32.0,653,400,549,31.0,131.0
0.16,0.27,1.47,0.014,0.002,0.04,0.02,0.01,0.001,0.002,0.001,0.004,820,250,2000,227.5333333333333,1190,1167,80.0,32.35,781.57,760,32.0,660,412,547,30.5,208.66666666666666
0.15,0.36,1.4,0.015,0.003,0.027,0.02,0.01,0.002,0.002,0.001,0.003,812,250,1800,259.85,1221,1184,80.0,32.27,777.62,754,32.0,643,381,529,30.5,154.66666666666666
0.15,0.38,1.47,0.015,0.004,0.036,0.01,0.01,0.002,0.001,0.001,0.003,822,220,1800,256.15,1209,1185,80.0,40.51,799.57,776,40.0,675,419,555,27.0,194.33333333333334
0.14,0.21,1.5,0.013,0.019,0.018,0.02,0.01,0.005,0.001,0.001,0.001,827,250,2000,264.6333333333333,1192,1163,50.0,20.61,833.7,768,20.0,629,383,528,27.0,203.33333333333334
0.14,0.21,1.5,0.013,0.019,0.018,0.02,0.01,0.005,0.001,0.001,0.001,825,250,2000,266.7333333333333,1193,1171,40.08,16.96,819.73,749,16.0,650,366,515,27.5,132.66666666666666
0.14,0.21,1.5,0.013,0.019,0.018,0.02,0.01,0.005,0.001,0.001,0.001,828,220,1600,286.3333333333333,1204,1180,40.0,16.12,838.62,751,16.0,629,391,541,34.5,130.0
0.17,0.34,1.44,0.012,0.004,0.015,0.01,0.02,0.002,0.004,0.002,0.005,851,250,1800,377.2833333333334,1207,1188,130.0,0.0,810.97,798,65.0,584,383,547,26.5,136.0
0.15,0.24,1.46,0.012,0.002,0.035,0.02,0.01,0.002,0.001,0.004,0.002,845,300,1800,379.35,1199,1183,100.0,0.0,793.38,783,50.0,663,369,541,28.0,156.66666666666666
0.14,0.21,1.5,0.013,0.019,0.018,0.02,0.01,0.005,0.001,0.001,0.001,796,150,1800,304.8333333333333,1192,1166,62.53,25.05,784.29,755,25.0,630,394,516,24.5,160.66666666666666
0.14,0.21,1.5,0.013,0.019,0.018,0.02,0.01,0.005,0.001,0.001,0.001,845,150,1800,282.55,1227,1191,36.0,12.12,848.84,755,12.0,647,363,510,31.0,143.66666666666666
0.14,0.21,1.5,0.013,0.019,0.018,0.02,0.01,0.005,0.001,0.001,0.001,811,150,1800,283.25,1202,1174,36.0,12.04,833.43,745,12.0,639,387,525,28.5,136.33333333333334
0.15,0.38,1.47,0.015,0.004,0.036,0.01,0.01,0.002,0.001,0.001,0.003,865,250,2000,362.2666666666667,1201,1184,160.03,82.01,831.34,801,81.0,627,381,555,26.0,147.66666666666666
0.16,0.22,1.39,0.018,0.01,0.04,0.02,0.01,0.004,0.001,0.001,0.002,793,220,1600,368.05,1197,1178,70.03,28.01,785.61,752,28.0,611,417,537,31.5,197.33333333333334
0.14,0.21,1.5,0.013,0.019,0.018,0.02,0.01,0.005,0.001,0.001,0.001,837,150,1400,268.5333333333334,1211,1175,36.01,12.16,847.05,748,12.0,652,387,532,31.0,125.33333333333333
0.14,0.21,1.5,0.013,0.019,0.018,0.02,0.01,0.005,0.001,0.001,0.001,777,220,1800,299.5333333333334,1189,1170,60.01,24.23,790.78,746,24.0,588,430,553,24.0,139.33333333333334
0.14,0.21,1.5,0.013,0.019,0.018,0.02,0.01,0.005,0.001,0.001,0.001,790,220,1800,226.8166666666667,1222,1196,42.0,14.42,800.71,742,14.0,651,402,542,28.0,136.0
0.14,0.21,1.5,0.013,0.019,0.018,0.02,0.01,0.005,0.001,0.001,0.001,812,220,1800,229.5,1221,1195,42.0,14.03,824.02,742,14.0,654,393,542,28.5,148.66666666666666
0.14,0.21,1.5,0.013,0.019,0.018,0.02,0.01,0.005,0.001,0.001,0.001,799,220,1800,230.3166666666667,1194,1175,42.0,14.23,807.68,739,14.0,645,391,538,26.5,177.66666666666666
0.14,0.21,1.5,0.013,0.019,0.018,0.02,0.01,0.005,0.001,0.001,0.001,811,220,1800,242.6166666666667,1222,1198,42.0,14.01,825.58,747,14.0,651,387,527,27.0,195.66666666666666
0.14,0.21,1.5,0.013,0.019,0.018,0.02,0.01,0.005,0.001,0.001,0.001,796,220,1800,243.1,1195,1177,42.0,14.14,807.3,739,14.0,642,393,548,31.0,187.66666666666666
0.14,0.21,1.5,0.013,0.019,0.018,0.02,0.01,0.005,0.001,0.001,0.001,802,220,1800,245.6166666666667,1194,1175,42.0,14.14,813.82,740,14.0,646,396,547,27.5,152.0
0.14,0.21,1.5,0.013,0.019,0.018,0.02,0.01,0.005,0.001,0.001,0.001,817,220,1800,246.5,1222,1197,42.0,14.32,815.38,743,14.0,659,388,536,31.0,163.33333333333334
0.14,0.21,1.5,0.013,0.019,0.018,0.02,0.01,0.005,0.001,0.001,0.001,798,220,1800,244.7333333333333,1196,1174,45.0,18.14,798.35,744,18.0,642,385,536,28.5,144.33333333333334
0.14,0.21,1.5,0.013,0.019,0.018,0.02,0.01,0.005,0.001,0.001,0.001,803,220,1800,268.95,1192,1175,45.0,18.02,803.58,745,18.0,645,375,523,27.0,220.33333333333334
0.14,0.21,1.5,0.013,0.019,0.018,0.02,0.01,0.005,0.001,0.001,0.001,803,220,1800,271.1166666666667,1191,1174,45.0,18.15,801.99,742,18.0,636,374,523,31.0,193.33333333333334
0.14,0.21,1.5,0.013,0.019,0.018,0.02,0.01,0.005,0.001,0.001,0.001,836,220,1800,283.6166666666667,1192,1175,36.01,12.07,842.49,749,12.0,656,392,537,27.5,132.0
0.14,0.21,1.5,0.013,0.019,0.018,0.02,0.01,0.005,0.001,0.001,0.001,863,150,1800,287.0,1215,1183,30.02,10.07,866.06,750,10.0,643,372,530,35.0,105.33333333333333
0.14,0.21,1.5,0.013,0.019,0.018,0.02,0.01,0.005,0.001,0.001,0.001,831,220,1800,289.3333333333333,1216,1193,36.0,12.05,837.0,744,12.0,650,382,533,33.0,124.33333333333333
0.14,0.21,1.5,0.013,0.019,0.018,0.02,0.01,0.005,0.001,0.001,0.001,840,150,1800,281.1,1195,1172,30.0,10.01,840.85,740,10.0,646,376,519,32.5,108.33333333333333
0.14,0.21,1.5,0.013,0.019,0.018,0.02,0.01,0.005,0.001,0.001,0.001,833,150,1400,276.4666666666666,1192,1170,36.01,12.0,839.47,734,12.0,665,384,526,30.5,131.0
0.14,0.21,1.5,0.013,0.019,0.018,0.02,0.01,0.005,0.001,0.001,0.001,853,150,1400,276.7333333333333,1223,1176,30.0,10.1,860.23,751,10.0,649,376,523,33.0,133.0
0.14,0.21,1.5,0.013,0.019,0.018,0.02,0.01,0.005,0.001,0.001,0.001,819,220,1600,288.45,1226,1203,36.01,12.04,823.36,739,12.0,648,374,528,30.0,103.33333333333333
0.14,0.21,1.5,0.013,0.019,0.018,0.02,0.01,0.005,0.001,0.001,0.001,840,150,1800,286.1333333333333,1189,1165,30.0,10.05,871.27,750,10.0,654,386,527,30.0,104.66666666666667
